;ID;Name;Sex;Age;Height;Weight;Team;NOC;Games;Year;Season;City;Sport;Event;Medal
22819;11999;Brian Reginald Blackburn;M;27;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Men's Pommelled Horse;
31301;16091;"Raymond Neville ""Ray"" Buckingham";M;26;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Fencing;Fencing Men's Foil, Team;
31861;16368;"Arthur William ""Ted"" Bull";M;26;;;Australia;AUS;1924 Summer;1924;Summer;Paris;Rowing;Rowing Men's Single Sculls;
35851;18421;Brian Barrett Carolan;M;29;;;Paula;AUS;1956 Summer;1956;Summer;Melbourne;Sailing;Sailing Mixed Three Person Keelboat;
35852;18422;"James Arthur ""Jim"" Carolan";M;28;;;Paula;AUS;1956 Summer;1956;Summer;Melbourne;Sailing;Sailing Mixed Three Person Keelboat;
42392;21870;Kenneth Clarke;M;25;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Hockey;Hockey Men's Hockey;
42409;21879;Rodney Clarke;M;22;;;Australia;AUS;1988 Winter;1988;Winter;Calgary;Figure Skating;Figure Skating Mixed Ice Dancing;
42974;22164;Edith Cochrane (-Pelluso);F;20;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Canoeing;Canoeing Women's Kayak Singles, 500 metres;
44621;22994;"Walter Charles ""Wally"" Coppins";M;22;;;Australia;AUS;1924 Summer;1924;Summer;Paris;Cycling;Cycling Men's Sprint;
44622;22994;"Walter Charles ""Wally"" Coppins";M;22;;;Australia;AUS;1924 Summer;1924;Summer;Paris;Cycling;Cycling Men's 50 kilometres;
46432;23949;"Thomas George ""Tom"" Cross";M;24;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Fencing;Fencing Men's Foil, Team;
49259;25368;"Stanley ""Stan"" Dargis";M;28;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Basketball;Basketball Men's Basketball;
49595;25550;Edna May Davey (-Hamilton);F;19;;;Australia;AUS;1928 Summer;1928;Summer;Amsterdam;Swimming;Swimming Women's 100 metres Freestyle;
49596;25550;Edna May Davey (-Hamilton);F;19;;;Australia;AUS;1928 Summer;1928;Summer;Amsterdam;Swimming;Swimming Women's 400 metres Freestyle;
49789;25653;William Maurice J. Davies;M;24;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Wrestling;Wrestling Men's Middleweight, Freestyle;
56759;29081;Herman Austin Doerner;M;33;;;Australia;AUS;1948 Summer;1948;Summer;London;Water Polo;Water Polo Men's Water Polo;
60559;31016;John P. Dwyer;M;28;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Hockey;Hockey Men's Hockey;
65323;33429;Barbara Elizabeth Evans (-Sargeant);F;16;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Swimming;Swimming Women's 200 metres Breaststroke;
71131;36225;Arthur E. Ford;M;25;;;Australia;AUS;1928 Summer;1928;Summer;Amsterdam;Wrestling;Wrestling Men's Bantamweight, Freestyle;
72441;36851;"Ingeborg ""Ing"" Fraser (Haussler-)";F;28;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Women's Individual All-Around;
72442;36851;"Ingeborg ""Ing"" Fraser (Haussler-)";F;28;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Women's Floor Exercise;
72443;36851;"Ingeborg ""Ing"" Fraser (Haussler-)";F;28;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Women's Horse Vault;
72444;36851;"Ingeborg ""Ing"" Fraser (Haussler-)";F;28;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Women's Uneven Bars;
72445;36851;"Ingeborg ""Ing"" Fraser (Haussler-)";F;28;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Women's Balance Beam;
76580;38866;Murray Garretty;M;18;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Swimming;Swimming Men's 1,500 metres Freestyle;
76581;38866;Murray Garretty;M;18;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Gold
82867;42092;David Munro Gourlay;M;19;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Men's Individual All-Around;
82868;42092;David Munro Gourlay;M;19;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Men's Team All-Around;
82869;42092;David Munro Gourlay;M;19;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Men's Floor Exercise;
82870;42092;David Munro Gourlay;M;19;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Men's Horse Vault;
82871;42092;David Munro Gourlay;M;19;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Men's Parallel Bars;
82872;42092;David Munro Gourlay;M;19;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Men's Horizontal Bar;
82873;42092;David Munro Gourlay;M;19;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Men's Rings;
82874;42092;David Munro Gourlay;M;19;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Men's Pommelled Horse;
83436;42392;Noel Francis Granger;M;25;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Wrestling;Wrestling Men's Welterweight, Freestyle;
89332;45281;Graham Hamilton;M;16;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Gold
90778;45993;Laurence Neville Harding-Smith;M;26;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Fencing;Fencing Men's epee, Individual;
91008;46112;Bryan Leslie Harper;M;29;185;70;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Canoeing;Canoeing Men's Canadian Singles, 1,000 metres;
91009;46112;Bryan Leslie Harper;M;29;185;70;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Canoeing;Canoeing Men's Canadian Singles, 10,000 metres;
91071;46150;"Bertram ""Bert"" Harris";M;32;;;Australia;AUS;1948 Summer;1948;Summer;London;Wrestling;Wrestling Men's Flyweight, Freestyle;
92382;46793;Harry Maitland Hay;M;27;178;;Australia;AUS;1920 Summer;1920;Summer;Antwerpen;Swimming;Swimming Men's 100 metres Freestyle;
92383;46793;Harry Maitland Hay;M;27;178;;Australia;AUS;1920 Summer;1920;Summer;Antwerpen;Swimming;Swimming Men's 400 metres Freestyle;
92384;46793;Harry Maitland Hay;M;27;178;;Australia;AUS;1920 Summer;1920;Summer;Antwerpen;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Silver
92538;46874;John Hayres;M;18;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Swimming;Swimming Men's 100 metres Backstroke;
99429;50326;"Patricia Elsie ""Pat"" Howard (-Freeman)";F;18;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Diving;Diving Women's Springboard;
108827;55040;Glen Ray Jobson;M;26;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Hockey;Hockey Men's Hockey;
110649;55957;Lois Margaret Joseph (-Green);F;22;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Fencing;Fencing Women's Foil, Individual;
115840;58676;"William Ernest ""Bill"" Kendall";M;20;178;;Australia;AUS;1936 Summer;1936;Summer;Berlin;Swimming;Swimming Men's 100 metres Freestyle;
119477;60484;Jack King;M;22;;;Australia;AUS;1920 Summer;1920;Summer;Antwerpen;Cycling;Cycling Men's Sprint;
119478;60484;Jack King;M;22;;;Australia;AUS;1920 Summer;1920;Summer;Antwerpen;Cycling;Cycling Men's 50 kilometres;
135641;68249;John Asa Lawrey Lees;M;25;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Men's Individual All-Around;
135642;68249;John Asa Lawrey Lees;M;25;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Men's Team All-Around;
135643;68249;John Asa Lawrey Lees;M;25;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Men's Floor Exercise;
135644;68249;John Asa Lawrey Lees;M;25;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Men's Horse Vault;
135645;68249;John Asa Lawrey Lees;M;25;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Men's Parallel Bars;
135646;68249;John Asa Lawrey Lees;M;25;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Men's Horizontal Bar;
135647;68249;John Asa Lawrey Lees;M;25;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Men's Rings;
135648;68249;John Asa Lawrey Lees;M;25;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Men's Pommelled Horse;
145126;72839;Barbara Ethel MacAulay (-Donnet);F;27;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Diving;Diving Women's Springboard;
145127;72839;Barbara Ethel MacAulay (-Donnet);F;27;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Diving;Diving Women's Platform;
145284;72921;"Vitezslav ""Victor"" Macha";M;35;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Wrestling;Wrestling Men's Light-Heavyweight, Greco-Roman;
154779;77697;Graham Philip McKenzie;M;21;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Fencing;Fencing Men's Sabre, Individual;
